fighter,opponent,method,round,time,time_format,referee,event_date,event_location,event_url,f_rd1_KD,f_rd1_Sig_str,f_rd1_Total_str,f_rd1_Sub_att,f_rd1_Rev,f_rd1_Ctrl,o_rd1_KD,o_rd1_Sig_str,o_rd1_Total_str,o_rd1_Sub_att,o_rd1_Rev,o_rd1_Ctrl,f_rd1_Head,f_rd1_Body,f_rd1_Leg,f_rd1_Distance,f_rd1_Clinch,f_rd1_Ground,o_rd1_Head,o_rd1_Body,o_rd1_Leg,o_rd1_Distance,o_rd1_Clinch,o_rd1_Ground
Cheick Kongo,Matt Mitrione,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"October 29, 2011","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/8788beb528894f33,0,7 of 23,9 of 25,0,0,1:00,0,3 of 10,4 of 13,0,0,0:01,1 of 16,2 of 3,4 of 4,5 of 21,2 of 2,0 of 0,2 of 9,1 of 1,0 of 0,2 of 9,1 of 1,0 of 0
Mirko Filipovic,Roy Nelson,KO/TKO,3,1:30,3 Rnd (5-5-5),Steve Mazzagatti,"October 29, 2011","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/8788beb528894f33,0,10 of 26,15 of 31,0,0,0:00,0,13 of 39,17 of 44,0,0,1:35,8 of 24,2 of 2,0 of 0,9 of 25,1 of 1,0 of 0,10 of 35,3 of 4,0 of 0,8 of 32,0 of 0,5 of 7
Michael Johnson,Paul Sass,Submission,1,3:00,3 Rnd (5-5-5),Dan Miragliotta,"October 01, 2011","Washington, DC, USA",http://ufcstats.com/event-details/44f9c777fed7ca03,0,8 of 26,9 of 27,0,0,0:37,0,2 of 16,2 of 16,3,0,0:05,6 of 23,0 of 1,2 of 2,7 of 25,0 of 0,1 of 1,2 of 16,0 of 0,0 of 0,2 of 16,0 of 0,0 of 0
Tyson Griffin,Bart Palaszewski,KO/TKO,1,2:45,3 Rnd (5-5-5),Steve Mazzagatti,"October 29, 2011","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/8788beb528894f33,0,6 of 21,6 of 21,0,0,0:00,1,17 of 66,17 of 66,0,0,0:00,1 of 15,1 of 2,4 of 4,6 of 21,0 of 0,0 of 0,16 of 63,0 of 1,1 of 2,17 of 66,0 of 0,0 of 0
Shane Roller,TJ Grant,Submission,3,2:12,3 Rnd (5-5-5),Fernando Yamasaki,"October 01, 2011","Washington, DC, USA",http://ufcstats.com/event-details/44f9c777fed7ca03,0,1 of 15,1 of 15,1,1,0:36,0,8 of 16,40 of 48,0,0,3:20,1 of 15,0 of 0,0 of 0,1 of 14,0 of 1,0 of 0,6 of 14,0 of 0,2 of 2,3 of 6,0 of 0,5 of 10
Matt Wiman,Mac Danzig,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Fernando Yamasaki,"October 01, 2011","Washington, DC, USA",http://ufcstats.com/event-details/44f9c777fed7ca03,0,40 of 62,48 of 71,0,0,1:12,0,31 of 48,79 of 100,0,0,0:33,19 of 41,11 of 11,10 of 10,22 of 37,18 of 25,0 of 0,25 of 42,6 of 6,0 of 0,21 of 37,10 of 11,0 of 0
Yves Edwards,Rafaello Oliveira,KO/TKO,2,2:44,3 Rnd (5-5-5),Mario Yamasaki,"October 01, 2011","Washington, DC, USA",http://ufcstats.com/event-details/44f9c777fed7ca03,0,14 of 51,15 of 52,0,0,0:00,0,10 of 74,14 of 79,0,0,0:40,5 of 39,8 of 10,1 of 2,12 of 48,2 of 3,0 of 0,6 of 57,1 of 11,3 of 6,9 of 70,1 of 4,0 of 0
Scott Jorgensen,Jeff Curran,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kim Winslow,"October 29, 2011","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/8788beb528894f33,0,10 of 25,40 of 56,0,0,3:38,0,11 of 34,27 of 53,0,0,0:00,9 of 24,1 of 1,0 of 0,4 of 16,0 of 0,6 of 9,8 of 27,0 of 3,3 of 4,10 of 31,0 of 0,1 of 3
Anthony Johnson,Charlie Brenneman,KO/TKO,1,2:49,3 Rnd (5-5-5),Mario Yamasaki,"October 01, 2011","Washington, DC, USA",http://ufcstats.com/event-details/44f9c777fed7ca03,1,16 of 20,38 of 43,0,0,2:14,0,1 of 2,1 of 2,0,0,0:00,10 of 14,4 of 4,2 of 2,3 of 6,0 of 0,13 of 14,0 of 1,1 of 1,0 of 0,1 of 2,0 of 0,0 of 0
Pat Barry,Stefan Struve,Submission,2,3:22,3 Rnd (5-5-5),Dan Miragliotta,"October 01, 2011","Washington, DC, USA",http://ufcstats.com/event-details/44f9c777fed7ca03,0,18 of 26,18 of 26,0,0,0:00,0,19 of 43,19 of 43,0,0,0:00,3 of 10,2 of 2,13 of 14,18 of 26,0 of 0,0 of 0,7 of 30,7 of 8,5 of 5,19 of 43,0 of 0,0 of 0
